0;1;Albacete;Alicante/Alacant;Almería;Araba/Álava;Asturias;Badajoz;Balears, Illes;Barcelona;Bizkaia;Burgos;Cantabria;Castellón/Castelló;Ceuta;Ciudad Real;Coruña, A;Cuenca;Cáceres;Cádiz;Córdoba;Gipuzkoa;Girona;Granada;Guadalajara;Huelva;Huesca;Jaén;León;Lleida;Lugo;Madrid;Melilla;Murcia;Málaga;Navarra;Ourense;Palencia;Palmas, Las;Pontevedra;Rioja, La;Salamanca;Santa Cruz de Tenerife;Segovia;Sevilla;Soria;Tarragona;Teruel;Toledo;Valencia/València;Valladolid;Zamora;Zaragoza;Ávila
34;Madrid;26975.0;360139.0;88680.0;7730.0;205662.0;64212.0;126756.0;34592.0;30130.0;68336.0;199504.0;83768.0;872.0;74888.0;107823.0;125518.0;123210.0;209138.0;21648.0;39094.0;22210.0;51814.0;226792.0;63463.0;26749.0;38712.0;90493.0;7660.0;49863.0;2982721.0;532.0;98671.0;189114.0;21932.0;28478.0;29302.0;51260.0;128875.0;19056.0;81771.0;40811.0;226162.0;26652.0;47836.0;21849.0;8657.0;351475.0;174766.0;39808.0;65728.0;22880.0;239257.0
34;Melilla;16.0;285.0;2031.0;;107.0;91.0;536.0;82.0;;16.0;34.0;124.0;68.0;99.0;142.0;;205.0;791.0;164.0;;;1951.0;48.0;249.0;65.0;256.0;76.0;;26.0;815.0;;236.0;7230.0;19.0;35.0;;231.0;38.0;15.0;95.0;115.0;66.0;328.0;15.0;16.0;40.0;96.0;272.0;;21.0;128.0;54.0
34;Murcia;17809.0;133025.0;35260.0;261.0;4891.0;571.0;4990.0;3614.0;1026.0;1180.0;3149.0;1806.0;108.0;1971.0;2657.0;3128.0;1468.0;5682.0;524.0;750.0;2195.0;12331.0;1006.0;1252.0;1388.0;4786.0;2014.0;665.0;800.0;12907.0;99.0;629785.0;5438.0;1873.0;810.0;283.0;1335.0;2170.0;359.0;1304.0;1352.0;908.0;2036.0;634.0;1617.0;900.0;1882.0;9667.0;833.0;629.0;946.0;857.0
34;Málaga;413.0;3418.0;12031.0;746.0;6163.0;2951.0;9529.0;4083.0;1459.0;1325.0;3741.0;910.0;1086.0;2388.0;3339.0;832.0;2580.0;60560.0;11727.0;1438.0;1055.0;36760.0;1133.0;10006.0;776.0;9582.0;2403.0;219.0;1533.0;16437.0;757.0;2749.0;768105.0;1029.0;485.0;590.0;3399.0;3167.0;546.0;1867.0;2460.0;1092.0;12523.0;631.0;966.0;142.0;2830.0;2510.0;807.0;810.0;506.0;1479.0
34;Navarra;209.0;3244.0;625.0;2293.0;2459.0;335.0;2884.0;2367.0;3655.0;2660.0;6089.0;3180.0;;326.0;1323.0;344.0;620.0;2947.0;140.0;14415.0;1781.0;562.0;596.0;427.0;6791.0;428.0;941.0;651.0;480.0;3964.0;;409.0;2024.0;221954.0;539.0;806.0;867.0;1803.0;7975.0;859.0;614.0;577.0;336.0;4283.0;8952.0;766.0;364.0;1981.0;582.0;570.0;9407.0;434.0
34;Ourense;19.0;320.0;15.0;87.0;767.0;59.0;263.0;211.0;127.0;126.0;349.0;108.0;;;7770.0;45.0;101.0;538.0;;75.0;52.0;56.0;96.0;179.0;20.0;64.0;788.0;;7063.0;1367.0;;68.0;202.0;18.0;137266.0;100.0;539.0;29322.0;34.0;237.0;217.0;100.0;162.0;69.0;77.0;;126.0;231.0;159.0;534.0;;92.0
34;Palencia;75.0;988.0;100.0;180.0;2234.0;308.0;293.0;220.0;186.0;2994.0;6171.0;237.0;;85.0;619.0;84.0;613.0;1494.0;;348.0;54.0;100.0;154.0;353.0;22.0;20.0;2651.0;71.0;390.0;1861.0;37.0;89.0;548.0;251.0;239.0;61435.0;242.0;1123.0;192.0;1070.0;240.0;905.0;90.0;418.0;108.0;;179.0;362.0;8599.0;819.0;187.0;365.0
34;Palmas, Las;68.0;1331.0;337.0;107.0;2496.0;365.0;1839.0;1843.0;476.0;349.0;1280.0;178.0;15.0;252.0;3415.0;186.0;879.0;2467.0;333.0;411.0;525.0;833.0;166.0;959.0;241.0;473.0;1161.0;175.0;512.0;5212.0;;870.0;1894.0;307.0;472.0;223.0;838153.0;3090.0;296.0;676.0;32942.0;360.0;1427.0;115.0;441.0;106.0;482.0;1168.0;833.0;382.0;313.0;319.0
34;Pontevedra;;541.0;68.0;102.0;3727.0;283.0;1832.0;1034.0;523.0;531.0;1024.0;306.0;;200.0;40943.0;96.0;370.0;1086.0;222.0;455.0;199.0;181.0;105.0;830.0;123.0;87.0;2377.0;171.0;9360.0;3914.0;;246.0;805.0;361.0;23284.0;207.0;977.0;417623.0;107.0;895.0;1146.0;513.0;382.0;90.0;388.0;45.0;204.0;495.0;596.0;1493.0;150.0;324.0
34;Rioja, La;84.0;2381.0;303.0;12707.0;2633.0;138.0;850.0;848.0;2534.0;4306.0;5820.0;1548.0;;97.0;565.0;190.0;352.0;986.0;50.0;2227.0;497.0;188.0;351.0;419.0;1053.0;131.0;968.0;418.0;217.0;2014.0;;403.0;653.0;16280.0;464.0;679.0;455.0;640.0;109327.0;587.0;262.0;272.0;269.0;3072.0;3435.0;326.0;321.0;1012.0;383.0;652.0;1836.0;177.0
34;Salamanca;136.0;2325.0;480.0;148.0;3048.0;1130.0;1308.0;685.0;857.0;1340.0;2867.0;475.0;;227.0;1651.0;348.0;5811.0;2209.0;116.0;514.0;200.0;463.0;199.0;1272.0;203.0;204.0;2684.0;44.0;967.0;4922.0;;517.0;2122.0;648.0;522.0;1162.0;900.0;2006.0;408.0;177755.0;1124.0;1814.0;695.0;279.0;323.0;74.0;667.0;1286.0;4769.0;9874.0;176.0;5885.0
34;Santa Cruz de Tenerife;147.0;922.0;379.0;114.0;2742.0;301.0;1890.0;2148.0;1037.0;340.0;1745.0;214.0;;181.0;2308.0;579.0;557.0;2072.0;175.0;702.0;712.0;626.0;137.0;991.0;370.0;180.0;975.0;85.0;645.0;4526.0;;689.0;1873.0;595.0;499.0;230.0;37138.0;2653.0;175.0;511.0;895492.0;322.0;1171.0;169.0;487.0;197.0;345.0;1305.0;363.0;334.0;323.0;239.0
34;Segovia;96.0;1778.0;473.0;;883.0;103.0;360.0;121.0;103.0;426.0;1571.0;229.0;;89.0;543.0;251.0;454.0;654.0;37.0;232.0;81.0;172.0;197.0;364.0;86.0;72.0;470.0;;271.0;5648.0;;253.0;632.0;35.0;121.0;204.0;137.0;1001.0;123.0;516.0;260.0;72570.0;162.0;249.0;76.0;29.0;303.0;632.0;1861.0;444.0;107.0;1321.0
